question,answer
Where can I return library books or materials? Can I return items without coming into the library?,"At the Health Sciences Library, place library books or materials in the return slot located at the service desk in the Health Sciences Library, or in the return box outside the library entrance. At the Miller Nichols Library, place library books or materials in a return located: In the 24-hour return box at the north entrance of Miller Nichols Library, inside the entrance vestibule.In the wall to the left of the first floor Service Desk (as seen when facing the desk). At the Music/Media service desk on the ground floor of the library. 24-hour book return: The return box at the north entrance of Miller Nichols Library, inside the entrance vestibule, is available 24 hours per day, 7 days per week. Place items in the box through the slot. You can enter the vestibule to return items without entering the library. The library will arrange to provide outside pickup and return of library materials if needed. See the library's Accessibility page for details on setting up your account for outside pickup and returns and making requests."
How can I get the books that are stored in the Robot?,"When you find a book in the library's catalog using the search bar on the library homepage, some items will show ""UMKC Robot Storage"" under Location. Click the Place Request button to notify library staff to retrieve the item from the Robot.Library staff will have your Robot items ready and waiting for you at the first floor Service Desk at Miller Nichols Library within about 15 minutes during normal business hours. After-hours requests will be ready the next morning. If your home location is set for another University of Missouri Library, items from the Robot will be delivered to your location when you use the Place Request button. "
How do I renew library books I already have checked out?,You can borrow the same books again without bringing them back to the library up to three times. This is called a renewal. You can do this online by logging into your library account using your UMKC username and password and selecting My Library Account at the top
Does the library have textbooks?,We do not have textbooks at the library but we encourage you to search our resources in case we happen to have purchased a book or an eBook your professor is using as a textbook. Go to the UMKC Bookstore in person or online to find your textbooks.
How long does it take to get an item through Interlibrary Loan?,We do not have textbooks at the library but we encourage you to search our resources in case we happen to have purchased a book or an eBook your professor is using as a textbook. Go to the UMKC Bookstore in person or online to find your textbooks.
Can I do my online classes or interviews in the library?,"Yes, you can do an online class, meeting, or interview anywhere in the UMKC Libraries being mindful of the noise level expectations for that area. No talking is allowed on the fourth floor of Miller Nichols Library or in the Silent Study area of the Health Sciences Library. Bring your own laptop with a webcam, microphone, and headphones, or use a library computer. Zoom is installed on the library computers.Computers on the first and second floors of  Miller Nichols Library have webcams that pop up from the top of the monitor but do not have microphones.Headphones without microphones are available to borrow at the service desks on the first floor of Miller Nichols Library and in the Health Sciences Library.
Reserve a study room in advance if you know you will need more privacy than a library desk or table offers. The online reservation indicates which rooms have doors and technology. "
Can I have food and drinks in the library?,"Yes, food and drinks are allowed in the Health Sciences Library and Miller Nichols Library, except in the special collections and archives areas. No food or drink may be brought into the Marr Sound Archives or the LaBudde Special Collections reading room. "
How much does it cost to print?How do I add more money to my printing account?,"See printing prices for black and white, color, single or double-sided, and 11x17. After you have used up your free printing quota for the semester, add money using the RooBucks account system. Quotas are refreshed each Spring, Summer, and Fall semester."
Does the library have a Scanner?,Yes! Scanners are available to scan and photocopy items on the ground and first floors of Miller Nichols Library and also at the Health Sciences Library. There is a coin-operated copy machine in Royal Hall.
How do I reserve classroom or foyer space in the Miller Nichols Learning Center?,"Classrooms in Miller Nichols Learning Center (MNLC) may be reserved for other meetings or events after the classroom schedule is set for the semester by the UMKC Registrar.Faculty and staff should email RegistrarScheduling@umkc.edu to request a room reservation. Include the date, start time, end time, and approximate attendance expected.Student organizations can work with the Office of Student Involvement to reserve rooms in campus buildings.Use of the foyer of the Miller Nichols Learning Center may be reserved by contacting the UMKC Registrar.Student organizations, UMKC departments, and UMKC offices can place one-time reservations for tabling in the foyer. Groups can also make requests to place temporary donation collection bins in the foyer.Email your request to RegistrarScheduling@umkc.edu.There is no dedicated space for tabling in the Health Sciences Library. Contact the UMKC Office of Student Involvement for more options for tabling locations on the Health Sciences Campus, or on the Volker campus. "
Does the library have silent study space?,"Yes! At the Miller Nichols Library, the 4th floor is the quiet floor of the library. At the Health Sciences Library, the northwest portion of the library space is designated for silent study, indicated by orange signage. "
Does the library have a lactation room?,"Yes, there is a lactation space for breastfeeding mothers on the 1st floor, Room 156 in the Miller Nichols Learning Center (across from the water fountains). The door is unlocked during building hours. If you are in the Health Sciences Library, use room M2-309. The door code may obtained from the GME office Monday-Friday, 8am-5pm. "
What are the hours for the Miller Nichols Learning Center?,The hours for the Miller Nichols Learning Center (MNLC) are the same as the Miller Nichols Library. Occasionally an early morning class meets in the Learning Center 30 minutes before the Miller Nichols Library opens for the day. See the full hours list for hours by day of the week and semester.
How do I pay a library fine? How do I get a library block removed from my account?,"Email circulation@umkc.edu, call (816) 235-1526, or visit the first floor service desk at Miller Nichols Library to discuss library fines or fees listed on your account and to get holds lifted from Pathway."
"Hi, How are you ?","I am doing, How can I help you today.?"
